Resumen generado por la IA,AI keywords,País,URL,Instituciones,Destinatarios,Fecha de cierre,Publicar,Geolocation,Latitude,Longitude,Nombre
,"Oportunidad para artistas, Premio Internacional, Residencia para artistas",,https://vhaward.com/about/#none,,,"July 6, 2024",Yes,,,,The 6th VH AWARD for Emerging Asian Media Artists
Solo Exhibition Proposals,,,https://www.smackmellon.org/opportunities/solo-exhibition-proposals/,,,"January 1, 2025",No,,,,SOLO EXHIBITION PROPOSALS
15th Epson Int'l Pano Awards,Artes Visuales,,https://thepanoawards.com/competition-rules/,,,"July 16, 2024",Yes,,,,The 15th Epson International Pano Awards
Certamen Hugo Padeletti,Artistas,,https://museorosagalisteo.gob.ar/certamen-padeletti/,,,"June 27, 2024",Yes,,,,CERTAMEN HUGO PADELETTI
Convocatoria RDHF,Arte Contemporáneo,,https://www.grantinterface.com/Home/Logon?urlkey=rdhfresidence,,,"July 1, 2024",Yes,,,,CONVOCATORIA ABIERTA PARA EL PROGRAMA DE RESIDENCI...
VII BIENAL INTL. DE PINTURA 2024: 'LOS SAN...,Pintura,,https://lossantosdemaimona.com/noticias-de-prensa/convocada-la-vii-bienal-internacional-de-pintura-2024-los-santos-de-maimona-cuna-de-artistas/,,,"July 22, 2024",Yes,,,,VII BIENAL INTERNACIONAL DE PINTURA 2024: ‘LOS SAN...
Art On Loop: Toronto,,,https://www.theholyart.com/toronto-aol,,,"December 11, 2024",No,,,,Art On Loop: Toronto
VIII Certamen Pintura Torrejón 2024,,,https://cultura.ayto-torrejon.es/sites/default/files/OK%20Bases%20VIII%20Certamen%20Nacional%20de%20Pintura%20de%20Torrejo%CC%81n%202024.pdf,,,"September 6, 2024",No,,,,VIII CERTAMEN NACIONAL DE PINTURA “CIUDAD DE TORRE...
AR-PR 2025,,,https://lamaisondebeaumont.com/artistresidency/,,,"February 1, 2025",No,,,,ARTIST RESIDENCY PROGRAM
Gold Leafing & Estofado,,,https://www.arquetopia.org/gold-leafing-residency,,,"January 1, 2025",No,,,,Gold Leafing & Estofado Instructional Residency Pr...
XVIIº SNAC 2024,Artes Visuales,,https://docs.google.com/document/d/1hOj7yRVlf3nO2G7urpg5mQgvD9fBv8ji/edit,,,"June 29, 2024",Yes,,,,XVIIº SALON NACIONAL DE ARTE CONTEMPORÁNEO 2024
17 Premio Pintura Badajoz 2024,,,https://www.aytobadajoz.es/files/archivos/ayto/2024_04/17_pcdb_pintura_bases.pdf,,,"August 16, 2024",No,,,,17 Premio de Pintura Ciudad de Badajoz 2024
Virtual Artist in Residence,,,https://somos-arts.org/somos-berlin-virtual-artist-residency/,,,"January 1, 2025",No,,,,Virtual Artist in Residence Program
Fieldhouse Act. Program,Convocatoria,,https://vancouver.ca/parks-recreation-culture/how-fieldhouse-residences-work.aspx,,,"July 20, 2024",Yes,,,,Fieldhouse Activation Program
Loosenart,,,https://www.loosenart.com/pages/calls,,,"August 30, 2024",No,,,,BROKEN FORMS
THIS LAND,Residencia para artistas,,https://art-fluent.com/calls-for-art/this-land-prospectus/,,,"July 13, 2024",Yes,,,,THIS LAND
Premio Destacado CIMAM 2024,,,https://cimam.org/cimam-outstanding-museum-practice-award/ompa-2024-nomination-form/,,,"August 31, 2024",No,,,,Premio a la Práctica Museística Destacada
Art Quilts,,,https://www.visiongallery.org/artist-opportunities/,,,"September 10, 2024",No,,,,Call for Work: Art Quilts
9º CONCURSO INT. DE FOTOGRAFÍA,,,https://ffiel.info/cif-bases/,,,"August 19, 2024",No,,,,9º CONCURSO INTERNACIONAL DE FOTOGRAFÍA
Xposure Int'l Photo & Film Awards '24,,,"https://awards.xposure.net/international-photography-awards/#:~:text=The%20Awards,included%20a%20category%20for%20filmmakers",,,"October 1, 2024",No,,,,Xposure International Photography & Film Awards 20...
Int'l Art Prize 2024,Premio Internacional,,https://www.winsornewton.com/uk/paul-smiths-foundation-winsor-newton/,,,"July 1, 2024",Yes,,,,International Art Prize 2024
Autumn Expr.,,,https://santaclaritaarts.com/galleries/callsforentries/,,,"August 6, 2024",No,,,,Autumn Expressions
DC Arts Center Open Call,"Arte Contemporáneo, Convocatoria, Open Call",,https://www.dcartscenter.org/wallmountables24,,,"July 13, 2024",Yes,,,,DC ARTS CENTER OPEN CALL FOR WALLMOUNTABLES (2024)
2025 Fall AIR Open Call,,,https://bemis.slideroom.com/#/login/program/76997,,,"August 2, 2024",No,,,,2025 Fall Artist-in-Residence Open Call
IV Certamen de Arte Contemporáneo Salvador Victor...,Arte Contemporáneo,,https://beatrizbertolin.blogspot.com/2024/06/iv-certamen-internacional-de-arte.html,,,"July 17, 2024",Yes,,,,IV CERTAMEN DE ARTE CONTEMPORÁNEO SALVADOR VICTORI...
ZI · Quién puede vivir,,,https://zonaimaginaria.com.ar/web/en/home-english/,,,"November 12, 2024",No,,,,ZI · Residencia: Quién puede vivir en esta casa?
Paris Open Art,,,https://www.theholyart.com/paris-open-art,,,"September 2, 2024",No,,,,Paris Open Art
PAR Art Res. 2024,Programa de residencia,,https://linktr.ee/Par.Residecne,,,"July 16, 2024",Yes,,,,Open Call: PAR Art Residence Program 2024
Cultivate Art Mag,Fotografía,,https://forms.monday.com/forms/60b7c0efbe5e42ee7a37fe8bae28da15?r=use1,,,"July 30, 2024",Yes,,,,Call for Submissions for the Cultivate Art Magazin...
W&T_1 SEM,,,https://bonfire-air.com/apply-walk/,,,"January 1, 2025",No,,,,WALK & TALK_ONE WEEK ONLINE ARTIST RESIDENCY
Foundry Gallery Artists' Choice: 2024 Regional Jur...,Arte Contemporáneo,,https://client.smarterentry.com/FoundryGallery,,,"July 1, 2024",Yes,,,,FOUNDRY GALLERY ARTISTS’ CHOICE: 2024 REGIONAL JUR...
Neofem Creative Residency,,,https://www.centrepompadour.com/the-creative-residency/faq/,,,"January 1, 2025",No,,,,THE NEOFEMINIST CREATIVE RESIDENCY
HUMANS LANDSCAPES,"Arte Digital, Becas de Intercambio",,https://www.loosenart.com/pages/calls,,,"July 27, 2024",Yes,,,,HUMANS LANDSCAPES
Producción expositiva fotográfica,,,https://www.canbaste.com/18e-forum-fotografic-can-baste/,,,"September 20, 2024",No,,,,Becas Producción expositiva fotográfica
Art for Change Prize 2024,Premio Internacional,,https://mcsaatchi.com/artforchangeprize,,,"July 18, 2024",Yes,,,,Art for Change Prize 2024
FARSA CONTEMPOR...,"Oportunidad para artistas, Programa de residencia, Residencia para artistas",,https://docs.google.com/document/d/1UIzHLRBS7V7xWMeN9gZslhWVxsVngRWIZYcaEvPP0G4/edit,,,"July 1, 2024",Yes,,,,PROGRAMA DE RESIDENCIA ARTÍSTICA  “FARSA CONTEMPOR...
SINOPIA Summer 2024,Residencia para artistas,,https://www.sinopia.gr/workshops,,,"July 1, 2024",Yes,,,,SINOPIA Residency Summer Program 2024
Artcabbage Prize,,,https://artcabbage.com/artcabbage-prize-international-art-contest/,,,"August 2, 2024",No,,,,ARTCABBAGE PRIZE OPEN INTERNATIONAL JURIED ART COM...
Mexican Textiles,,,https://www.arquetopia.org/mexican-textiles-residencies,,,"January 1, 2025",No,,,,Mexican Textiles Instructional Residency Programs
The Awesome Foundation,,,https://www.awesomefoundation.org/en/about_us,,,"January 1, 2025",No,,,,The Awesome Foundation
"Certamen Pintura Contemporánea ""Casimiro Bar...""",,,https://www.ayto-siero.es/certamen-casimiro-2024/,,,"October 5, 2024",No,,,,"XX Certamen de Pintura Contemporánea ""Casimiro Bar..."
WABI-SABI 2024,"Online Photography Exhibit, WABI-SABI 2024",,https://capecodartcenter.org/call-for-artists-2024-exhibit-schedule/,,,"July 15, 2024",Yes,,,,WABI-SABI 2024 – Online Photography Exhibit
Beautiful Bizarre Art Prize 2024,Premio Internacional,,https://beautifulbizarreartprize.art/about-beautiful-bizarre-art-prize/?v=5b61a1b298a0,,,"July 18, 2024",Yes,,,,Beautiful Bizarre Art Prize 2024
EKM Gallery,Artistas,,https://www.ekmgallery.co.uk/opencalls,,,"June 27, 2024",Yes,,,,Innuendo
Art Fair East 2024,,,https://artfaireast.com/apply-to-take-part/,,,"October 11, 2024",No,,,,Open call 2024 Art Fair East
,,,https://www.bandadas.com/convocation,,,,No,,,,Residency at GlogauAIR in Berlin
,,,https://drive.google.com/file/d/1EEs7UJ9o70RlndZrgDDys19ESwRxxD1r/edit,,,,No,,,,SALÓN DE ARTES VISUALES DEL MUSEO DEL CCLF 2024: L...
,,,https://www.insightsofayoungecologicalartist.com/copy-of-about,,,,No,,,,Insights of an Eco Artist Interviews
Certamen Zurbarán,,,https://www.gazteaukera.euskadi.eus/contenidos/convocatoria/convocatoria_1686737618532/eu_def/llerena.pdf,,,,No,,,,V Certamen de Pintura Juan de Zurbarán
SPIE IDL Photo Contest 2024,,,https://oauth.spie.org/connect/authorize?client_id=d89c88f2-0dc0-4694-8576-671dc02390c6&redirect_uri=https%3A%2F%2Fwww.spie.org%2Faccount%2Foauthlogin&response_type=code&scope=openid%20spie-claims&code_challenge=i5ESUYLBeKz9-NKI4cwAbP2LMZoROI6Z5eT4p0OigHA&code_challenge_method=S256&state=OpenIdConnect.AuthenticationProperties%3DxDOTYwmvbqAy5LPfqMiRaCFjRB1Lz1yYAGn2R_MP8OLacCgp-ZwpHQPw778JwGGKaWKYSA_MrBnlRzjKcpiSqbtQRXrjpTt3ePRW4DvozecQukvDMToXiqtBYLbZ68qg2LINsEcDny1ht5JflRcDrPd28QTNxYMuwDzxXva3m2-o8NHbL7Z-C5XaRlpQ9C26YJ0s7rUEhZh4Gd02zzhfQ8YXlZ5HtYUklimVPzyCDBmomA2uRq8Xy34cr05v1uBzn8keRJbyx2jTv6HVIkjRFbpVaeDbIMmnqf6yg9kMrXIh2b1boRS-woAQE4qbLKYh&response_mode=form_post&nonce=638550475201932101.OWNiMjY5NzktZDliMS00ZDc0LThjODUtNDY5ZDI2ZWIzYjRlY2UzNjMyNDAtOTZlNC00Y2ZhLWJjNGYtMzE4NmMxZDE5MWYz&prompt=none&post_logout_redirect_uri=https%3A%2F%2Fwww.spie.org%2Faccount%2Fsignout-callback&x-client-SKU=ID_NET472&x-client-ver=6.21.0.0,,,,No,,,,SPIE International Day of Light Photo Contest 2024
,,,https://boomergallery.net/open-calls,,,,No,,,,Featured Artist | Showcase Your Art On Our Interna...
,,,https://koisartistaward.com/open-theme-art-competition/,,,,No,,,,Open Theme Juried Art Competition
XII Concurso de Pintura Ernesto Goday,,,https://www.coruna.gal/informacionjuvenil/es/convocatorias/concursos-y-premios/detalle-concursos/bases-xii-concurso-de-pintura-ernesto-goday/suceso/1453867193553?argIdioma=es,,,,No,,,,XII Concurso de Pintura Ernesto Goday
7th WEA Prize 2024,,,https://www.womeninartprize.com/entertheprize,,,,No,,,,7th Annual Women's Emerging Artist Prize 2024
VI PREMIO ATC IMPULSA,,,https://atece.org/impulsa-2024/,,,,No,,,,2024 VI PREMIO ATC IMPULSA
BSAA,,,https://tenmoirgallery.com/blu-sky-emerging-artist-award/,,,,No,,,,Blu-Sky Artist Award (BSAA)
,,,https://www.loosenart.com/pages/calls,,,,No,,,,CINEMATICS PICTURES
,,,https://mainstreetartscs.org/exhibitions/small-works-2024/,,,,No,,,,Small Works 2024
"Art, Design or Photography Residency Program (México)
Transformed: ADPRP (México)",,,https://www.arquetopia.org/art-design-or-photography-residency,,,,No,,,,"Art, Design or Photography Residency Program (Méxi..."
,,,https://www.banrepcultural.org/programas/imagen-regional/imagen-regional-10,,,,No,,,,Imagen Regional 10
IX Concurso de Fotografía de Terror 2024,,,https://terrorificamentecortos.com/concurso-de-fotografia/,,,,No,,,,IX Concurso de Fotografía de Terror 2024
MINI PRINT REUS FORTUNY 2024,,,https://ars-hub.org/mini-print-reus-fortuny/,,,,No,,,,MINI PRINT INTERNACIONAL REUS FORTUNY 2024
Resid. Artísticas Int.,,,https://muv.fmjj.org/programa-de-residencias-artisticas-internacionales/,,,,No,,,,Programa de Residencias Artísticas Internacionales
,,,https://azarts.gov/arts-op/2024-international-interdisciplinary-art-conference-iiac-seoul/,,,,No,,,,The 2024 International Interdisciplinary Art Confe...
EWA Art Prize,,,https://submit.artstoheartsproject.com/emerging-woman-artist-award-ath-art-prize/,,,,No,,,,THE EMERGING WOMAN ARTIST AWARD ART PRIZE
Gibbs St. RA 2024-2025: Free,,,https://visarts.submittable.com/submit,,,,No,,,,"Gibbs Street Resident Artists 2024-2025: Free, Ope..."
,,,https://www.makma.net/v-premio-carteles-makma-sostenible/,,,,No,,,,V Premio Internacional de Carteles MAKMA ‘Sostenib...
,,,https://www.sidestreetstudioarts.org/es/neither-here-nor-there,,,,No,,,,Neither Here Nor There
2024 LUCIE SCHOLARSHIP,,,https://www.luciefoundation.org/programs/scholarship/,,,,No,,,,2024 LUCIE SCHOLARSHIP PROGRAM
Premios Hexagonal,,,https://hexagonalinnova.net/i-premios-hexagonal-2024/,,,,No,,,,I Premios Hexagonal de Innovación & Creación Artís...
Solo Exhibition in the Metaverse,,,https://circularartspace.co.uk/applications,,,,No,,,,SOLO EXHIBITION IN THE METAVERSE
Art for Change Prize,,,https://mcsaatchi.com/artforchangeprize,,,,No,,,,ART FOR CHANGE PRIZE
,,,https://www.slowart.com/prospectus/rena.htm,,,,No,,,,RENASCENCE II – New and Emerging Art
Museo Preus Open Call 2024 -> Museo Preus,,,https://site.picter.com/preus-museum-open-call-24,,,,No,,,,Museo Preus Open Call 2024
,,,https://www.candcgallerycompetition.com/competition-rules,,,,No,,,,GLOBAL FINE ART PHOTOGRAPHY COMPETITION
,,,https://www.sebarts.org/call-for-entries,,,,No,,,,Art Inspired by: FOOD + Everything About it
,,,https://www.internationalartist.com/competitions/rules,,,,No,,,,Challenge 143: Cityscapes
,,,https://linktr.ee/eARThgallery,,,,No,,,,The essence of connections
Apoyo a la Creación '24. Producción,,,https://fundacionlacaixa.org/es/apoyo-creacion-produccion,,,,No,,,,Apoyo a la Creación '24. Producción
,,,https://www.slowart.com/prospectus/surreal.htm,,,,No,,,,Surreal Visions
,,,https://www.accioncultural.es/es/residencias-2024,,,,No,,,,Residencias 2024
Pre-Columbian Ceramics,,,https://www.arquetopia.org/pre-columbian-ceramics-residency,,,,No,,,,Pre-Columbian Ceramics Instructional Residency Pro...
,,,https://ffiel.info/gto-bases/,,,,No,,,,5° CONCURSO INTERNACIONAL DE FOTOGRAFÍA: POSTALES ...
,,,https://www.factoryonwillow.com/air,,,,No,,,,Factory AiR Application
2024 Juried Photo Show,,,https://lodiartcenter.org/2024-annual-photography-show,,,,No,,,,2024 Annual Juried Photography Show & Sale
,,,https://unionstreetgallery.submittable.com/submit,,,,No,,,,Designed to Dwell
19º. Premio Pintura Paco Merino,,,https://www.pacomerino.com/bases-premio-castellano/,,,,No,,,,19º. Premio de Pintura Paco Merino
,,,https://elkgrovefineartscenter.org/exhibitions/,,,,No,,,,ENDLESS SUMMER 2024 - Online All Media Exhibit
,,,https://www.lalcudia.com/web/index.php?option=com_content&view=article&id=1228:i-biennal-de-gravat-manuel-boix&catid=106&Itemid=1100,,,,No,,,,PRIMER BIENAL INTERNACIONAL DE GRABADOS “MANUEL BO...
II Premio de Fotografía Paisaje Giennense,,,https://www.dipujaen.es/conoce-diputacion/areas-organismos-empresas/ieg/premios/,,,,No,,,,II PREMIO DE FOTOGRAFÍA SOBRE EL PAISAJE GIENNENSE
,,,https://www.arquetopia.org/peruvian-textiles-residency,,,,No,,,,Peruvian Textiles Instructional Residency Program ...
,,,https://pkf.org/apply/,,,,No,,,,PKF Grants
,,,https://carvingstudio.org/blogs/exhibitions/sculptfest24-call-to-artists,,,,No,,,,SculptFest24- Call to Artists
,,,https://roundhousefoundation.org/pine-meadow-ranch/residencies/#application,,,,No,,,,Residency Program
Decolonizando Feminismo,,,https://womanmade.org/call-for-art/,,,,No,,,,Through a BIPOC Lens: Decolonizing Feminism
,,,https://www.thealmenaracollection.com/page/40769/2024-rules,,,,No,,,,THE ALMENARA ART PRIZE 2024
III Ed. Fotografía Alberto Galán,,,https://ufca.es/iii-edicion-de-la-beca-de-fotografia-alberto-galan/,,,,No,,,,III EDICIÓN BECA DE FOTOGRAFÍA ALBERTO GALÁN
,,,chrome-error://chromewebdata/,,,,No,,,,LOMA SERENA
,,,https://static.arteinformado.com/resources/app/docs/evento/21/231221/certamen_pintura_al_aire_libre_ram__n_c__rdoba_2024.pdf,,,,No,,,,CERTAMEN DE PINTURA AL AIRE LIBRE RAMÓN CÓRDOBA 20...
,,,https://www.bandadas.com/convocation,,,,No,,,,Natural Pigments Instructional Residency Program (...
,,,,,,,No,,,,Call for Art- minimal
,,,,,,,No,,,,XXIV CERTAMEN NACIONAL DE PINTURA “ADOLFO CÓRDOBA”...
Premi Escultura Fundació Bosch Aymerich,,,,,,,No,,,,Premi d’Escultura Fundació Bosch Aymerich
Collage Art en Escocia,,,,,,,No,,,,Collage Artist Residency in Scotland
OPEN CALL: THE HUMAN BODY,,,,,,,No,,,,OPEN CALL: THE HUMAN BODY
Patio Talento Flora Instalación Flora,,,,,,,No,,,,CONVOCATORIA PATIO TALENTO FLORA INSTALACIÓN FLORA...
,,,,,,,No,,,,TEMPORARY OUTDOOR PUBLIC ART INSTALLATION
,,,,,,,No,,,,Mexican Ceramics Residency Program
Güell - 2024,,,,,,,No,,,,Beca d'Arts Visuals Fundació Güell - 2024
,,,,,,,No,,,,The East London Art Prize 2025
,,,,,,,No,,,,Residencias de Producción
,,,,,,,No,,,,International Juried Photography Call for Entry: A...
,,,,,,,No,,,,WTP MAGAZINE: VISUAL ARTS
INVIERNO-PRIMAVERA 2024,,,,,,,No,,,,OPEN CALL INVIERNO-PRIMAVERA 2024
,,,,,,,No,,,,XLII CERTAMEN INTERNACIONAL DE PINTURA CASTILLO DE...
,,,,,,,No,,,,Politically Charged: Call to Artists
,,,,,,,No,,,,YEARBOOK AWARDS 2024
Exhibición Mattie Kelly Arts,,,,,,,No,,,,EXHIBITING AT THE MATTIE KELLY ARTS CENTER
,,,,,,,No,,,,PREMIO EUROSTARS HOTEL COMPANY DE FOTOGRAFÍA DE MÁ...
,,,,,,,No,,,,Printmaking Residency Program
,,,,,,,No,,,,Tokyo Open Art
Dora Maar House,,,,,,,No,,,,Fellowships: Dora Maar House Artists Residency
,,,,,,,No,,,,Open Theme Online Art Competition
,,,,,,,No,,,,Production and research residency program in the P...
,,,,,,,No,,,,XXVIII CERTAMEN DE PINTURA INDALECIO HERNÁNDEZ VAL...
Baron Book Prize,,,,,,,No,,,,The Baron Book Prize
,,,,,,,No,,,,Open Call: Programa de Pasantías Argentina Perform...
,,,,,,,No,,,,“TERRA EARTH” - A VIRTUAL EXHIBITION
,,,,,,,No,,,,Festival Internacional de Artes Digitales de Tesal...
JIA Ilus. Award 2024,,,,,,,No,,,,JIA Illustration Award 2024
Electroetching,,,,,,,No,,,,Electroetching Instructional Residency Program
,,,,,,,No,,,,
